Team,Payroll,Season,Playoffs,Wins,PCT
Golden State,178980766,2021/2022,Yes,53,0.646
Brooklyn,174811922,2021/2022,Yes,44,0.537
LA Clippers,168378382,2021/2022,No,42,0.512
LA Lakers,164409293,2021/2022,No,33,0.402
Milwaukee,162135421,2021/2022,Yes,51,0.622
Utah,149364516,2021/2022,Yes,49,0.598
Philadelphia,148922969,2021/2022,Yes,51,0.622
Miami,140840240,2021/2022,Yes,53,0.646
Denver,138598410,2021/2022,Yes,48,0.585
Indiana,138181486,2021/2022,No,25,0.305
Boston,138096726,2021/2022,Yes,51,0.622
Minnesota,137098327,2021/2022,Yes,46,0.561
Phoenix,136476474,2021/2022,Yes,64,0.78
Cleveland,136385911,2021/2022,No,44,0.537
Atlanta,136166020,2021/2022,Yes,43,0.524
Chicago,136083814,2021/2022,Yes,46,0.561
New Orleans,135793968,2021/2022,Yes,36,0.439
Toronto,134671484,2021/2022,Yes,48,0.585
Houston,132267085,2021/2022,No,20,0.244
Detroit,131120355,2021/2022,No,23,0.28
Sacramento,130457848,2021/2022,No,30,0.366
Washington,128019790,2021/2022,No,35,0.427
San Antonio,127655401,2021/2022,No,34,0.415
Orlando,126786646,2021/2022,No,24,0.293
Portland,124788473,2021/2022,No,27,0.329
Dallas,124600538,2021/2022,Yes,52,0.634
New York,122624081,2021/2022,No,37,0.451
Charlotte,122139566,2021/2022,No,43,0.524
Memphis,117284457,2021/2022,Yes,56,0.683
Oklahoma City,82022873,2021/2022,No,24,0.293
Golden State,171105334,2020/2021,No,39,0.542
Brooklyn,170444633,2020/2021,Yes,48,0.667
Philadelphia,147825311,2020/2021,Yes,49,0.681
LA Clippers,139722606,2020/2021,Yes,47,0.653
LA Lakers,139334713,2020/2021,Yes,42,0.583
Utah,136881324,2020/2021,Yes,52,0.722
Milwaukee,136623929,2020/2021,Yes,46,0.639
Miami,134731235,2020/2021,Yes,40,0.556
New Orleans,133901495,2020/2021,No,31,0.431
Boston,132931565,2020/2021,Yes,36,0.5
Memphis,132022601,2020/2021,Yes,38,0.528
Portland,131904647,2020/2021,Yes,42,0.583
Houston,131784255,2020/2021,No,17,0.236
Washington,131294012,2020/2021,Yes,34,0.472
Minnesota,130334934,2020/2021,No,23,0.319
Indiana,130237102,2020/2021,No,34,0.472
Denver,129793210,2020/2021,Yes,47,0.653
Cleveland,129605319,2020/2021,No,22,0.306
San Antonio,129537825,2020/2021,No,33,0.458
Toronto,129131910,2020/2021,No,27,0.375
Chicago,128963580,2020/2021,No,31,0.431
Phoenix,128858241,2020/2021,Yes,51,0.708
Dallas,127657823,2020/2021,Yes,42,0.583
Orlando,121739163,2020/2021,No,21,0.292
Atlanta,118804016,2020/2021,Yes,41,0.569
Detroit,117041599,2020/2021,No,20,0.278
Charlotte,108218809,2020/2021,No,33,0.458
Sacramento,106847430,2020/2021,No,31,0.431
New York,102137151,2020/2021,Yes,41,0.569
Oklahoma City,95774839,2020/2021,No,22,0.306
Oklahoma City,132017938,2019/2020,Yes,44,0.611
Portland,131979953,2019/2020,Yes,35,0.473
LA Clippers,131506341,2019/2020,Yes,49,0.681
Cleveland,131059022,2019/2020,No,19,0.292
Philadelphia,129912339,2019/2020,Yes,43,0.589
Miami,129867871,2019/2020,Yes,44,0.603
Golden State,129254928,2019/2020,No,15,0.231
Denver,128746180,2019/2020,Yes,46,0.63
Houston,128109922,2019/2020,Yes,44,0.611
Orlando,126095610,2019/2020,Yes,33,0.452
LA Lakers,123971686,2019/2020,Yes,52,0.732
Milwaukee,122612183,2019/2020,No,56,0.767
Toronto,122463495,2019/2020,Yes,53,0.736
Washington,121296256,2019/2020,No,25,0.347
Dallas,120871082,2019/2020,Yes,43,0.573
San Antonio,119217331,2019/2020,No,32,0.451
Utah,118910311,2019/2020,Yes,44,0.611
Brooklyn,118889943,2019/2020,Yes,35,0.486
New Orleans,117868297,2019/2020,No,30,0.417
Boston,117759332,2019/2020,Yes,48,0.667
Minnesota,114202982,2019/2020,No,19,0.297
Sacramento,113796966,2019/2020,No,31,0.431
Indiana,112872260,2019/2020,Yes,45,0.616
Chicago,112601901,2019/2020,No,22,0.338
Atlanta,110702618,2019/2020,No,20,0.299
Detroit,104527576,2019/2020,No,20,0.303
New York,100232129,2019/2020,No,21,0.318
Phoenix,98539675,2019/2020,No,34,0.466
Memphis,98495848,2019/2020,No,34,0.466
Charlotte,96552033,2019/2020,No,23,0.354
Miami,153171497,2018/2019,No,39,0.476
Golden State,146291276,2018/2019,Yes,57,0.695
Oklahoma City,144916427,2018/2019,Yes,49,0.598
Toronto,137793831,2018/2019,Yes,58,0.707
Milwaukee,130988604,2018/2019,Yes,60,0.732
Portland,130256600,2018/2019,Yes,53,0.646
Detroit,126557932,2018/2019,Yes,41,0.5
Houston,126474100,2018/2019,Yes,53,0.646
Boston,125334993,2018/2019,Yes,49,0.598
Memphis,125188633,2018/2019,No,33,0.402
Washington,123747588,2018/2019,No,32,0.39
New York,123387454,2018/2019,No,17,0.207
Cleveland,123255073,2018/2019,No,19,0.232
Minnesota,121962221,2018/2019,No,36,0.439
San Antonio,121588790,2018/2019,Yes,48,0.585
Charlotte,121427859,2018/2019,No,39,0.476
Brooklyn,118850600,2018/2019,Yes,42,0.512
Denver,118327016,2018/2019,Yes,54,0.659
LA Clippers,118026816,2018/2019,Yes,48,0.585
New Orleans,116052756,2018/2019,No,33,0.402
Philadelphia,115127167,2018/2019,Yes,51,0.622
Orlando,114394213,2018/2019,Yes,42,0.512
Utah,113826156,2018/2019,Yes,50,0.61
Chicago,112598201,2018/2019,No,22,0.268
Indiana,110724804,2018/2019,Yes,48,0.585
Phoenix,108692835,2018/2019,No,19,0.232
LA Lakers,107225482,2018/2019,No,37,0.451
Sacramento,101466920,2018/2019,No,39,0.476
Dallas,86958881,2018/2019,No,33,0.402
Atlanta,79180081,2018/2019,No,29,0.354
Cleveland,137722926,2017/2018,Yes,50,0.61
Golden State,137610134,2017/2018,Yes,58,0.707
Oklahoma City,134534640,2017/2018,Yes,48,0.585
Miami,133624374,2017/2018,Yes,44,0.537
Washington,123306396,2017/2018,Yes,43,0.524
New Orleans,120814452,2017/2018,Yes,48,0.585
Milwaukee,120521249,2017/2018,Yes,44,0.537
Houston,119905532,2017/2018,Yes,65,0.793
Detroit,119773191,2017/2018,No,39,0.476
LA Clippers,119093010,2017/2018,No,42,0.512
Portland,118708146,2017/2018,Yes,49,0.598
Charlotte,117382664,2017/2018,No,36,0.439
Toronto,116929373,2017/2018,Yes,59,0.72
Minnesota,116075131,2017/2018,Yes,47,0.573
Boston,115284776,2017/2018,Yes,55,0.671
San Antonio,114633844,2017/2018,Yes,47,0.573
Memphis,110700149,2017/2018,No,22,0.268
Denver,107543599,2017/2018,No,46,0.561
Utah,105606838,2017/2018,Yes,48,0.585
New York,105403130,2017/2018,No,29,0.354
LA Lakers,103126557,2017/2018,No,35,0.427
Philadelphia,100797386,2017/2018,Yes,52,0.634
Atlanta,99992696,2017/2018,No,24,0.293
Sacramento,99587185,2017/2018,No,27,0.329
Orlando,98700258,2017/2018,No,25,0.305
Brooklyn,95475397,2017/2018,No,28,0.341
Indiana,95271736,2017/2018,Yes,48,0.585
Phoenix,92684083,2017/2018,No,21,0.256
Chicago,90466801,2017/2018,No,27,0.329
Dallas,85440245,2017/2018,No,24,0.293